275996762:[51.5633114, 7.4554911]
275996763:[51.5632875, 7.4547167]
275996764:[51.5633292, 7.4539684]
275996765:[51.5635, 7.4534964]
275996766:[51.5637347, 7.4531445]
275996767:[51.5640715, 7.4527944]
275996923:[51.5625991, 7.4612352]
275996957:[51.5595426, 7.4626576]
275997198:[51.5625123, 7.4610483]
275997199:[51.5622204, 7.4605778]
275997200:[51.5619317, 7.4601138]
275997201:[51.5617639, 7.4598761]
275997202:[51.5615633, 7.4595091]
275997203:[51.5613662, 7.4590972]
275997204:[51.561192, 7.4586255]
275997207:[51.5608585, 7.4581649]
275997208:[51.560616, 7.4581342]
275997209:[51.5603386, 7.458118]
275997210:[51.5601221, 7.4580715]
275997211:[51.559969, 7.4580428]
275997212:[51.5594169, 7.4578888]
276052925:[51.5576371, 7.4621528]
276052934:[51.5584353, 7.4597185]
276052943:[51.5598711, 7.4598774]
276052955:[51.561676, 7.4597495]
276052957:[51.5618606, 7.4592832]
276052959:[51.5620097, 7.4584815]
276052961:[51.5621792, 7.4579805]
276052962:[51.562126, 7.4577309]
276052963:[51.5620635, 7.4573796]
276052964:[51.562005, 7.4570354]
276052965:[51.5619913, 7.4566754]
276052966:[51.5621162, 7.4563365]
276052967:[51.562154, 7.4560642]
276052969:[51.5623128, 7.4557402]
276052970:[51.5625094, 7.4555113]
276052971:[51.5626276, 7.4557317]
276052972:[51.5628037, 7.4556716]
276052973:[51.5629211, 7.4556115]
276052974:[51.5630705, 7.4555514]
276052976:[51.5657162, 7.4524909]
276052985:[51.5661156, 7.4495904]
276052988:[51.5658838, 7.4471902]
276057564:[51.5634576, 7.4517999]
276057568:[51.5627023, 7.4495604]
276057569:[51.5627503, 7.4488309]
276057570:[51.5629211, 7.4481957]
276057571:[51.5632401, 7.4472208]
276057572:[51.5635435, 7.446347]
276057573:[51.5638841, 7.4454244]
276057574:[51.5641548, 7.4446998]
276057575:[51.5643745, 7.4440727]
276057576:[51.564492, 7.4437892]
276057577:[51.5642055, 7.4436906]
276057578:[51.5636812, 7.4435154]
276057580:[51.5625574, 7.4431197]
276057581:[51.5616638, 7.4428126]
276057582:[51.5613787, 7.442711]
276106349:[51.5469689, 7.4350175]
276106434:[51.5476224, 7.4221816]
276106439:[51.5477144, 7.4204893]
276166803:[51.54274, 7.4351086]
276191714:[51.5622266, 7.4500749]
276191715:[51.5619739, 7.4500559]
276191716:[51.5615782, 7.4500115]
276191722:[51.5614373, 7.4507001]
276191724:[51.5612309, 7.4507834]
276191733:[51.5604456, 7.4504931]
276191740:[51.5601403, 7.4491315]
276191747:[51.5599446, 7.4492021]
276191751:[51.5593521, 7.4493929]
276191754:[51.5591164, 7.4494605]
276191770:[51.5588591, 7.4489696]
276191778:[51.5586873, 7.4481733]
276191787:[51.5579608, 7.4476256]
276191788:[51.5579117, 7.4475417]
276191790:[51.5579373, 7.4485024]
276191792:[51.5579677, 7.4496999]
276191796:[51.5580015, 7.4500472]
276191799:[51.5578003, 7.4502225]
276191801:[51.5575218, 7.4502573]
276191803:[51.5572014, 7.4504056]
276191805:[51.5568314, 7.4504943]
276191807:[51.5565284, 7.4505711]
276191809:[51.5565596, 7.4513085]
276191811:[51.5568038, 7.4520597]
276191813:[51.5569928, 7.4527906]
276191815:[51.5571406, 7.4534331]
276191817:[51.5573382, 7.4540401]
276191819:[51.5574041, 7.4546742]
276191821:[51.5576315, 7.4553813]
276191825:[51.5583534, 7.4562216]
276191829:[51.5591164, 7.4564602]
276191832:[51.5592842, 7.4569951]
276191836:[51.5588904, 7.4587497]
276191840:[51.5587432, 7.4590207]
276268489:[51.5480113, 7.456478]
276268494:[51.5465017, 7.459153]
276268495:[51.5459693, 7.4585534]
276268496:[51.5463072, 7.457708]
276268497:[51.5458651, 7.4570808]
276268498:[51.5463127, 7.4562855]
276268558:[51.548697, 7.4520043]
276268561:[51.5490375, 7.4535619]
276268565:[51.5493737, 7.4539482]
276268569:[51.5491145, 7.4568539]
276268571:[51.5491193, 7.4557425]
276268572:[51.5489167, 7.4554395]
276268573:[51.5488928, 7.4551307]
276268575:[51.5485069, 7.4550836]
276268579:[51.5472223, 7.4552358]
276268581:[51.5472975, 7.4565635]
276268628:[51.5541532, 7.4371258]
276268629:[51.554147, 7.4381618]
276268630:[51.5540136, 7.4381875]
276268631:[51.5538695, 7.4381017]
276268632:[51.5535007, 7.4376234]
276268633:[51.552949, 7.4373186]
276268634:[51.5526611, 7.4372702]
276268635:[51.5525712, 7.4387737]
276268636:[51.5525316, 7.4392378]
276268637:[51.5521724, 7.4417055]
276268638:[51.5517811, 7.444297]
276268641:[51.5526151, 7.441933]
276268642:[51.5529996, 7.440711]
276268643:[51.5533186, 7.4403321]
276268644:[51.5538162, 7.4402818]
276268645:[51.5544566, 7.440711]
276268646:[51.5548835, 7.4409684]
276268647:[51.5551503, 7.4412088]
276268648:[51.5552411, 7.4413633]
276268649:[51.5556627, 7.4415022]
276268650:[51.5555806, 7.4397163]
276268894:[51.5579883, 7.4344571]
276268897:[51.5576359, 7.4356461]
276268908:[51.556548, 7.4228284]
276268912:[51.5587738, 7.4193734]
276268913:[51.5590406, 7.4195794]
276268916:[51.5588156, 7.4198095]
276268919:[51.5577492, 7.4218368]
276268920:[51.5571014, 7.4235765]
276268921:[51.5570288, 7.4240255]
276268923:[51.5569881, 7.4284903]
276268925:[51.5571188, 7.4321147]
276268926:[51.5573447, 7.4331922]
276715215:[51.5653887, 7.4600926]
276715602:[51.5719938, 7.4279542]
276715607:[51.5711329, 7.4289037]
276715611:[51.5698874, 7.429857]
276715614:[51.5679413, 7.4309461]
276715621:[51.5656567, 7.4321883]
276715635:[51.5642131, 7.4329347]
276715645:[51.5625965, 7.4337783]
276715649:[51.5606035, 7.4347981]
276715653:[51.5591777, 7.4353272]
276715655:[51.5576353, 7.4356627]
276715658:[51.5565982, 7.4358609]
276715669:[51.5527361, 7.4364446]
276715674:[51.5525019, 7.4363482]
276715692:[51.5494815, 7.4353148]
276715696:[51.5484009, 7.4350926]
276964876:[51.5659298, 7.4475486]
276964880:[51.5658836, 7.4475725]
276964882:[51.5657014, 7.4475954]
276964884:[51.5655222, 7.4476859]
276964886:[51.5654141, 7.4477292]
276964888:[51.5653177, 7.4477859]
276964890:[51.5652287, 7.4478728]
276964892:[51.5650963, 7.4480806]
276964894:[51.5648999, 7.4485317]
276964896:[51.5647416, 7.449049]
276964898:[51.564611, 7.4493235]
276964901:[51.5644621, 7.4500516]
276964903:[51.564309, 7.4503921]
276964905:[51.5642444, 7.4507479]
276964907:[51.5640989, 7.4509777]
276964909:[51.5639201, 7.4512166]
276964911:[51.5637317, 7.4516524]
276964913:[51.5637305, 7.451702]
276964922:[51.5675455, 7.4595045]
276964923:[51.5674292, 7.4593904]
276964925:[51.5672925, 7.4592508]
276964927:[51.5671563, 7.45914]
276964929:[51.567037, 7.4590152]
276964931:[51.5669653, 7.4589734]
276964933:[51.5668743, 7.4588899]
276964935:[51.5668092, 7.458719]
276964937:[51.5666899, 7.4585356]
276964939:[51.5666431, 7.4583929]
276964941:[51.5665424, 7.4582983]
276964943:[51.5664519, 7.4582119]
276964944:[51.5663268, 7.4581087]
276964946:[51.5661744, 7.4580809]
276964948:[51.566104, 7.4579974]
276964950:[51.5660105, 7.4577988]
276964952:[51.5659214, 7.4575675]
276964954:[51.5658582, 7.4573455]
276964956:[51.565723, 7.4571096]
276964958:[51.5655534, 7.4568721]
276964959:[51.5653982, 7.4566899]
276964960:[51.5652803, 7.4565685]
276964962:[51.5651413, 7.4562947]
276964967:[51.5650043, 7.4561615]
276964972:[51.5648036, 7.4559023]
276964973:[51.5646306, 7.4557351]
276964974:[51.5644484, 7.4555538]
276964975:[51.56423, 7.4553449]
276964981:[51.5640306, 7.4552218]
276964982:[51.5638498, 7.4551414]
276964983:[51.5636775, 7.4550319]
276964984:[51.5634862, 7.4549636]
276964985:[51.5632987, 7.4549227]
276965000:[51.5605234, 7.4507886]
276965001:[51.560568, 7.4511998]
276965004:[51.5606587, 7.4521354]
276965005:[51.5607814, 7.4529078]
276965006:[51.560869, 7.4533376]
276965007:[51.5609243, 7.4537183]
276965008:[51.5609609, 7.4540099]
276965010:[51.5607922, 7.4544077]
276965011:[51.5605799, 7.454402]
276965013:[51.560265, 7.4542645]
276965015:[51.559981, 7.4541095]
276965022:[51.5598112, 7.4540152]
276965025:[51.5595415, 7.4538762]
276965031:[51.5592652, 7.4537495]
276965054:[51.5586979, 7.4534405]
276965058:[51.5585491, 7.4533536]
276965059:[51.5584781, 7.4532677]
276965060:[51.5584072, 7.4529894]
276965061:[51.5583879, 7.4527207]
276965062:[51.5583842, 7.4523848]
276965063:[51.5583719, 7.4520438]
276965067:[51.558244, 7.4511159]
276965069:[51.5581965, 7.4506331]
276965071:[51.5594429, 7.4538531]
276965076:[51.5594809, 7.4557067]
276965081:[51.5590433, 7.4557581]
276965084:[51.5591471, 7.4560628]
276965085:[51.5592175, 7.4562508]
276965086:[51.559265, 7.4564677]
276965087:[51.56202, 7.4565684]
276965088:[51.5619024, 7.4565104]
276965089:[51.5617887, 7.4563852]
276965090:[51.5615792, 7.4563371]
276965091:[51.5614296, 7.4562504]
276965092:[51.5612893, 7.4561896]
276965093:[51.5610403, 7.4561016]
276965094:[51.5608281, 7.4561975]
276965095:[51.5606216, 7.4562023]
276965096:[51.5604832, 7.4561496]
276965097:[51.560358, 7.4560136]
276965524:[51.5632733, 7.458051]
276965527:[51.5631684, 7.4579985]
276965529:[51.563074, 7.4579478]
276965531:[51.5629605, 7.4578694]
276965533:[51.5628329, 7.4577987]
276965535:[51.5627335, 7.4577686]
276965537:[51.5625622, 7.4577086]
276965539:[51.5623568, 7.4577671]
276965541:[51.5622185, 7.4579177]
277048924:[51.5591278, 7.4642861]
277082173:[51.5486687, 7.4320058]
277082174:[51.5487942, 7.4316998]
277082175:[51.5489354, 7.4313014]
277082176:[51.5490099, 7.4308844]
277082177:[51.5490046, 7.4304197]
277082178:[51.5489698, 7.4298091]
277082179:[51.5489277, 7.4292267]
277082180:[51.5488933, 7.4286065]
277082181:[51.5488753, 7.4281183]
277082182:[51.5489445, 7.4273103]
277082183:[51.5489836, 7.4265457]
277082185:[51.5491753, 7.4261368]
277082186:[51.5493829, 7.4259369]
277082187:[51.5497546, 7.425654]
277082190:[51.5507917, 7.4248531]
277082191:[51.5510111, 7.4246883]
277082192:[51.5512313, 7.4245842]
277082193:[51.5511963, 7.4242]
277082468:[51.5488564, 7.4291933]
277082471:[51.5489325, 7.4308337]
277082475:[51.5486037, 7.4320061]
277082478:[51.548635, 7.4341233]
277082483:[51.5472993, 7.4348865]
277082484:[51.5468938, 7.4350498]
277082506:[51.5478752, 7.4312413]
277082508:[51.5483564, 7.4291601]
277082997:[51.5479514, 7.4338113]
277082999:[51.5476194, 7.4346905]
277083000:[51.5480385, 7.4348557]
277083001:[51.54814, 7.4346325]
277083003:[51.5487057, 7.4348557]
277083167:[51.5501203, 7.433084]
277083168:[51.5496364, 7.4328797]
277083169:[51.5492695, 7.4349733]
277083173:[51.5514426, 7.4337892]
277083176:[51.5504198, 7.4344224]
277083177:[51.5503593, 7.4346225]
277083178:[51.5503148, 7.4346162]
277083179:[51.5502855, 7.4347801]
277083180:[51.5502922, 7.4348338]
277083181:[51.5502562, 7.4349647]
277083182:[51.550498, 7.4351331]
277083183:[51.550593, 7.4350515]
277083184:[51.5506706, 7.4351668]
277083185:[51.5506636, 7.4352622]
277083186:[51.550909, 7.4354445]
277083187:[51.5510025, 7.4354069]
277083188:[51.5511051, 7.435075]
277083189:[51.5510681, 7.4349417]
277083190:[51.5509038, 7.4348036]
277083191:[51.5508558, 7.4348422]
277083192:[51.550678, 7.4347093]
277083193:[51.5506544, 7.4346172]
277083208:[51.5501398, 7.434432]
277083209:[51.5499785, 7.4343165]
277083210:[51.5499324, 7.4344828]
277083211:[51.5500937, 7.4345983]
277422655:[51.5634067, 7.4119914]
277422656:[51.5634166, 7.4120631]
277422666:[51.5635026, 7.4139022]
277422669:[51.5634358, 7.4153322]
277422672:[51.563535, 7.4163761]
277422685:[51.5653437, 7.4122415]
277422686:[51.5658059, 7.4123279]
